id,name,status,year,place,type,decade,latitude,longitude,ccode,country, sq km,mass,mass_bin
10341,10341,10341,10341,10341,10341,10341,10341,10341,10341,10341,10341,10341,10214
16980,16980,16980,16980,16980,16980,16980,16980,16980,16980,16980,16980,16980,16946
862,862,862,862,862,862,862,862,862,862,862,862,862,820
2,2,2,2,2,2,2,2,2,2,2,2,2,0
21,21,21,21,21,21,21,21,21,21,21,21,21,15
432,432,432,432,432,432,432,432,432,432,432,432,432,342
135,135,135,135,135,135,135,135,135,135,135,135,135,112
4686,4686,4686,4686,4686,4686,4686,4686,4686,4686,4686,4686,4686,4603
1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1826
3836,3836,3836,3836,3836,3836,3836,3836,3836,3836,3836,3836,3836,3748
41,41,41,41,41,41,41,41,41,41,41,41,41,24
